q1,q2,q3,q4,q5,q6,q7,dq1,dq2,dq3,dq4,dq5,dq6,dq7,ddq1,ddq2,ddq3,ddq4,ddq5,ddq6,ddq7,t_solve
-0.140104,-0.50362,-0.595298,-2.24447,-0.331105,1.63882,-1.72328,0.0181578,0.00379618,-0.00763845,-0.0125546,-0.00388972,-0.00394363,-0.0417256,-0.0993219,-0.0187799,0.0464763,0.0539565,0.0161783,0.00573106,0.230778,8.017
-0.140086,-0.503616,-0.595305,-2.24448,-0.331109,1.63881,-1.72332,0.0180587,0.00377743,-0.00759207,-0.0125008,-0.00387359,-0.00393793,-0.0414954,-0.0990851,-0.0187421,0.0463815,0.053825,0.0161339,0.00569835,0.230235,8.005
-0.140068,-0.503612,-0.595313,-2.24449,-0.331113,1.63881,-1.72336,0.0179599,0.00375873,-0.00754578,-0.0124471,-0.0038575,-0.00393226,-0.0412657,-0.0988478,-0.0187041,0.0462862,0.0536936,0.0160896,0.00566595,0.229692,7.999
-0.14005,-0.503608,-0.59532,-2.24451,-0.331117,1.6388,-1.7234,0.0178613,0.00374006,-0.00749959,-0.0123936,-0.00384145,-0.00392663,-0.0410365,-0.0986103,-0.0186661,0.0461906,0.053562,0.0160452,0.00563384,0.229148,8.377
-0.140032,-0.503605,-0.595328,-2.24452,-0.331121,1.6388,-1.72345,0.0177629,0.00372144,-0.0074535,-0.0123401,-0.00382545,-0.00392102,-0.0408079,-0.0983723,-0.0186279,0.0460946,0.0534304,0.016001,0.00560203,0.228602,9.177
-0.140015,-0.503601,-0.595335,-2.24453,-0.331125,1.6388,-1.72349,0.0176648,0.00370285,-0.0074075,-0.0122868,-0.00380949,-0.00391545,-0.0405799,-0.098134,-0.0185896,0.0459983,0.0532988,0.0159567,0.00557051,0.228056,8.105
-0.139997,-0.503597,-0.595342,-2.24454,-0.331128,1.63879,-1.72353,0.0175669,0.0036843,-0.0073616,-0.0122337,-0.00379358,-0.00390992,-0.0403524,-0.0978954,-0.0185512,0.0459016,0.0531671,0.0159125,0.00553929,0.227509,8.017
-0.13998,-0.503594,-0.59535,-2.24455,-0.331132,1.63879,-1.72357,0.0174692,0.00366578,-0.00731579,-0.0121806,-0.00377771,-0.00390441,-0.0401254,-0.0976564,-0.0185126,0.0458045,0.0530354,0.0158683,0.00550836,0.226961,7.985
-0.139962,-0.50359,-0.595357,-2.24457,-0.331136,1.63879,-1.72361,0.0173718,0.00364731,-0.00727009,-0.0121277,-0.00376189,-0.00389893,-0.039899,-0.097417,-0.018474,0.0457071,0.0529036,0.0158242,0.00547772,0.226412,7.825
-0.139945,-0.503586,-0.595364,-2.24458,-0.33114,1.63878,-1.72365,0.0172746,0.00362887,-0.00722448,-0.012075,-0.00374611,-0.00389348,-0.0396731,-0.0971774,-0.0184352,0.0456094,0.0527718,0.0157801,0.00544736,0.225862,8.054
-0.139928,-0.503583,-0.595371,-2.24459,-0.331143,1.63878,-1.72368,0.0171777,0.00361048,-0.00717897,-0.0120223,-0.00373037,-0.00388806,-0.0394478,-0.0969374,-0.0183963,0.0455113,0.0526399,0.0157361,0.00541729,0.225311,7.832
